test_type,trial_num,target_size,target_distance,index_of_difficulty,movement_time_ms,target_x,target_y,endpoint_x,endpoint_y,error_distance,click_x,click_y,hit,block_num,time_min,error_rate,latency_ms
click_accuracy,6,,,,,511.45,451.84,,,4.48,506.99,451.43,True,,,,
click_accuracy,7,,,,,1399.02,208.99,,,16.22,1405.0,224.06,True,,,,
click_accuracy,8,,,,,700.14,757.97,,,22.02,689.79,738.53,True,,,,
click_accuracy,9,,,,,558.08,209.09,,,12.52,552.4,197.94,True,,,,
click_accuracy,10,,,,,519.3,291.82,,,24.72,526.35,268.13,True,,,,
click_accuracy,11,,,,,330.36,208.12,,,20.01,310.79,203.94,True,,,,
click_accuracy,12,,,,,1099.07,428.17,,,19.84,1106.38,409.73,True,,,,
click_accuracy,13,,,,,581.93,240.25,,,12.37,576.03,251.12,True,,,,
click_accuracy,14,,,,,211.2,885.15,,,7.01,217.01,881.22,True,,,,
click_accuracy,15,,,,,1138.15,914.51,,,29.03,1109.16,913.02,True,,,,
click_accuracy,16,,,,,1525.55,1016.89,,,4.8,1523.46,1012.58,True,,,,
click_accuracy,17,,,,,242.67,644.86,,,10.01,235.14,651.45,True,,,,
click_accuracy,18,,,,,997.54,806.6,,,3.09,999.23,809.18,True,,,,
click_accuracy,19,,,,,918.94,615.78,,,11.02,925.05,606.62,True,,,,
click_accuracy,20,,,,,1538.98,467.13,,,16.04,1546.03,452.72,True,,,,
click_accuracy,21,,,,,1467.39,1005.53,,,22.63,1470.25,983.09,True,,,,
click_accuracy,22,,,,,749.9,568.74,,,12.51,762.41,568.77,True,,,,
click_accuracy,23,,,,,1195.62,946.27,,,16.57,1183.51,957.58,True,,,,
click_accuracy,24,,,,,1839.31,71.42,,,14.6,1845.35,84.71,True,,,,
click_accuracy,25,,,,,1676.31,660.91,,,17.94,1686.14,675.92,True,,,,
click_accuracy,26,,,,,1619.35,998.92,,,14.93,1626.33,985.73,True,,,,
click_accuracy,27,,,,,810.03,373.18,,,9.88,812.36,382.78,True,,,,
click_accuracy,28,,,,,1799.57,682.4,,,17.86,1786.07,670.71,True,,,,
click_accuracy,29,,,,,1055.08,153.51,,,24.73,1069.19,173.83,True,,,,
click_accuracy,30,,,,,562.85,119.69,,,32.34,533.17,132.54,False,,,,
click_accuracy,31,,,,,1258.75,450.06,,,17.97,1243.08,458.87,True,,,,
click_accuracy,32,,,,,726.67,482.73,,,16.46,711.15,477.25,True,,,,
click_accuracy,33,,,,,795.85,814.12,,,28.56,768.03,820.59,True,,,,
click_accuracy,34,,,,,1159.89,397.64,,,16.56,1175.68,402.62,True,,,,
click_accuracy,35,,,,,1765.28,769.25,,,30.36,1743.61,747.98,False,,,,
click_accuracy,36,,,,,1826.04,785.58,,,16.08,1841.5,790.04,True,,,,
click_accuracy,37,,,,,382.1,783.69,,,15.59,397.7,783.84,True,,,,
click_accuracy,38,,,,,1697.47,234.09,,,12.38,1697.43,246.46,True,,,,
click_accuracy,39,,,,,1822.76,421.11,,,14.68,1819.74,435.48,True,,,,
click_accuracy,40,,,,,1431.56,466.42,,,28.19,1415.1,489.31,True,,,,
click_accuracy,41,,,,,194.72,622.52,,,14.33,209.04,622.65,True,,,,
click_accuracy,42,,,,,828.97,197.69,,,10.39,830.56,207.96,True,,,,
click_accuracy,43,,,,,74.45,567.79,,,30.3,44.15,568.08,False,,,,
click_accuracy,44,,,,,664.34,401.23,,,16.05,673.35,387.95,True,,,,
click_accuracy,45,,,,,681.26,878.1,,,20.01,692.15,861.31,True,,,,
click_accuracy,46,,,,,75.9,220.3,,,20.12,82.97,239.14,True,,,,
click_accuracy,47,,,,,222.95,692.5,,,16.52,230.09,707.4,True,,,,
click_accuracy,48,,,,,998.65,531.2,,,9.96,990.13,526.04,True,,,,
click_accuracy,49,,,,,1160.65,196.3,,,4.59,1162.81,200.35,True,,,,
click_accuracy,50,,,,,647.79,205.7,,,9.87,651.46,196.53,True,,,,
fatigue,,,,,,,,,,,,,,1,1.0,0.0573,297.18
fatigue,,,,,,,,,,,,,,2,2.0,0.0854,364.24
fatigue,,,,,,,,,,,,,,3,3.0,0.0916,394.99
fatigue,,,,,,,,,,,,,,4,4.0,0.0981,446.84
fatigue,,,,,,,,,,,,,,5,5.0,0.155,509.66
